සකල ක්ලේශ ප්‍රහාණයෙන් ලෝකෝත්තර තත්ත්වයෙහි වැඩ විසූ තථාගතයන් වහන්සේ සම්මා සම්බුද්ධ නම් වූ  ලොවුතුරා සම්බුදු පදවියට පත්වූයේ උතුම් මිනිස් ජීවිතයක් ලැබීමෙන් බව අප අමතක නොකළ යුතුව ඇත.	තථාගතයන්	බුදුරජාණන්	බුදුරජාණන්	බුදුරජාණන්	බුදුරජාණන්	භාග්‍යවතුන්	භාග්‍යවතුන්	බුදුන්	බුදුන්	සම්බුදුරජාණන්	බුදුවරයන්
නල්ලතන්නිය කල්ප රුක්ෂ විහාරස්ථානයේ විහාරාධිපති දෙහිපේ නන්ද හිමියන්ගේ අනුශාසකත්වයෙන්, නල්ලතන්නිය සංචාරක නිවාඩු නිකේතන හිමියන්ගේ සංගමය, ත්‍රිරෝද රථ සහ වෑන් රථ සංගමය, සංචාරක මඟ පෙන්වන්නන්ගේ සංගමය සහ ප්‍රදේශවාසීන් එක්ව මේ විරෝධතාව සංවිධාන කර තිබුණි.	අනුශාසකත්වයෙන්	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ආශිර්වාදයෙන්	ආශිර්වාදයෙන්	ආශිර්වාදයෙන්	මගපෙන්වීමෙන්	මගපෙන්වීමෙන්
නිර්වාණය වනාහි ආර්යයන් ගේ පරම විශුද්ධ ලෝකෝත්තර ඥානයට මිස සෙස්සන් ගේ දුබල ඥානයට හොඳින් අසු නොවන්නා වූ ඇති වීමක් නැතිව ඇත්තා වූ, නො දිරන්නා වූ, නොබිඳෙන්නා වූ, සෑම කල්හි ම පවත්නා වූ, අනන්තාපරිමාණ ගුණයන් ගෙන් යුක්ත වූ, පරම සූක්ෂම වූ පරම ගම්භීර වූ එක්තරා සුඛස්වභාවයෙකි.	නිර්වාණය	නිවන	නිවන	නිවන	නිවන	නිවන	නිවන	මුක්තිය	මුක්තිය	මුක්තිය	මෝක්ෂය
වෛද්‍ය විද්‍යාවට මෙයින් ලැබෙන පිටිවහල අතිමහත්වන අතර ඒ හේතුවෙන් මූලික වශයෙන් පෙනහළු මෙන්ම අක්මාව, අග්න්‍යාශය, වකුගඩු හා අන්තරයට ප්‍රවෙණිගතව බලපෑ හැකි රෝගී තත්ත්වයක සිට පියයුරු පිළිකා දක්වා හේතුවිය හැකි ප්‍රවේණිගත වැරදීම් ඉවත් කිරීම පිළිබඳ සංකල්පය ද මීට අයත්වේ.	පිටිවහල	උදවු	උදවු	උදවු	උදවු	උපකාර	උපකාර	උපකාර	පිහිට	පිහිට	පිහිට
මෙරට පවුල් ලක්ෂ 68ක සංඛ්‍යාවකින් ලක්ෂ 26ක් දරිද්‍රතා රේඛාවෙන් පහළ මට්ටමේ සිටින බව මුදල් රාජ්‍ය අමාත්‍ය රංජිත් සියඹලාපිටිය මහතා පැවැසීය.	දරිද්‍රතා	දුප්පත්	දුප්පත්	දුප්පත්	දුප්පත්	දුප්පත්	දිළිඳු	දිළිඳු	දිළිඳු	දුගී	දුගී
අම්මා කෙනෙකුගෙන් තොරවූ ජන සමාජයක් කිසි දිනෙක මිහිපිට පහළ වූයේ නැත, ඒ නිසාම අතීත යුගයේ සිට අම්මා කෙනෙකු බවට පත්වූ වනිතාව මුළු මහත් ප‍්‍රජාවගේම බුහුමනට පාත‍්‍ර වූවාය.	වනිතාව	කාන්තාව	කාන්තාව	කාන්තාව	කාන්තාව	ගැහැණිය	ගැහැණිය	ගැහැණිය	කත	කත	කත
උදෑසන ආහාර සොයා ගිය සියොතුන් නැවත තම කැදැලි කරා පියඹා එන්නට පටන් ගෙන.	සියොතුන්	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	පක්ෂීන්	පක්ෂීන්	පක්ෂීන්	විහඟුන්
සමාරම්භයත් සමඟම, මාතර හා තදාසන්න ප්‍රදේශවල සිය ගණන් මාපියෝ සිය පුත්‍රයන්ගේ ඉංග්‍රීසි අධ්‍යාපනය උදෙසා පරාක්‍රමබාහු පාඨශාලාව යනුවෙන් නම් කෙරුණු මේ පාසලට රැගෙන එන්නට වූහ.	පාඨශාලාව	පාසල	පාසල	පාසල	පාසල	විදුහල	විදුහල	විද්‍යාලය	විද්‍යාලය	ඉස්කෝලය	ඉස්කෝලය
බලි තොවිල් වැනි ශාන්ති කර්මවලදී කේතුට හිමි වෘක්ෂය වන කෙසෙල් ගසේ පතුරු භාවිත කරන්නේ වාත, පිත, සෙම යන කොටස් තුන කෙසෙල් පතුරුවල අඩංගු නිසාය.	වෘක්ෂය	ගස	ගස	ගස	ගස	ගස	ගස	රුක	රුක	රුක	තුර
වඩා ත් තීරණාත්මක ලෙස, ඇතැම් න්‍යායන්ට අනුව අපගේ ග්‍රහලෝකය තුළ ජීවය සම්භවය විය හැකි තත්ත්වයන් නිර්මාණය කිරීමට චන්ද්‍රයා උපකාර වන්නට, එසේම පෘථිවියේ ජීවය ප්‍රථමයෙන් ආරම්භ කිරීමට පවා උපකාර වන්නට ඇත.	චන්ද්‍රයා	සඳ	සඳ	සඳ	සඳ	සඳ	හඳ	හඳ	හඳ	හඳ	තරිඳු
