si_1	sinhala	සකල ක්ලේශ ප්‍රහාණයෙන් ලෝකෝත්තර තත්ත්වයෙහි වැඩ විසූ තථාගතයන් වහන්සේ සම්මා සම්බුද්ධ නම් වූ  ලොවුතුරා සම්බුදු පදවියට පත්වූයේ උතුම් මිනිස් ජීවිතයක් ලැබීමෙන් බව අප අමතක නොකළ යුතුව ඇත.	තථාගතයන්	0.67	බුදුරජාණන්	බුදුරජාණන්	බුදුරජාණන්	බුදුරජාණන්	භාග්‍යවතුන්	භාග්‍යවතුන්	බුදුන්	බුදුන්	සම්බුදුරජාණන්	බුදුවරයන්
si_2	sinhala	නල්ලතන්නිය කල්ප රුක්ෂ විහාරස්ථානයේ විහාරාධිපති දෙහිපේ නන්ද හිමියන්ගේ අනුශාසකත්වයෙන්, නල්ලතන්නිය සංචාරක නිවාඩු නිකේතන හිමියන්ගේ සංගමය, ත්‍රිරෝද රථ සහ වෑන් රථ සංගමය, සංචාරක මඟ පෙන්වන්නන්ගේ සංගමය සහ ප්‍රදේශවාසීන් එක්ව මේ විරෝධතාව සංවිධාන කර තිබුණි.	අනුශාසකත්වයෙන්	0.52	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ප්‍රධානත්වයෙන්	ආශිර්වාදයෙන්	ආශිර්වාදයෙන්	ආශිර්වාදයෙන්	මගපෙන්වීමෙන්	මගපෙන්වීමෙන්
si_3	sinhala	නිර්වාණය වනාහි ආර්යයන් ගේ පරම විශුද්ධ ලෝකෝත්තර ඥානයට මිස සෙස්සන් ගේ දුබල ඥානයට හොඳින් අසු නොවන්නා වූ ඇති වීමක් නැතිව ඇත්තා වූ, නො දිරන්නා වූ, නොබිඳෙන්නා වූ, සෑම කල්හි ම පවත්නා වූ, අනන්තාපරිමාණ ගුණයන් ගෙන් යුක්ත වූ, පරම සූක්ෂම වූ පරම ගම්භීර වූ එක්තරා සුඛස්වභාවයෙකි.	නිර්වාණය	0.91	නිවන	නිවන	නිවන	නිවන	නිවන	නිවන	මුක්තිය	මුක්තිය	මුක්තිය	මෝක්ෂය
si_4	sinhala	වෛද්‍ය විද්‍යාවට මෙයින් ලැබෙන පිටිවහල අතිමහත්වන අතර ඒ හේතුවෙන් මූලික වශයෙන් පෙනහළු මෙන්ම අක්මාව, අග්න්‍යාශය, වකුගඩු හා අන්තරයට ප්‍රවෙණිගතව බලපෑ හැකි රෝගී තත්ත්වයක සිට පියයුරු පිළිකා දක්වා හේතුවිය හැකි ප්‍රවේණිගත වැරදීම් ඉවත් කිරීම පිළිබඳ සංකල්පය ද මීට අයත්වේ.	පිටිවහල	0.24	උදවු	උදවු	උදවු	උදවු	උපකාර	උපකාර	උපකාර	පිහිට	පිහිට	පිහිට
si_5	sinhala	මෙරට පවුල් ලක්ෂ 68ක සංඛ්‍යාවකින් ලක්ෂ 26ක් දරිද්‍රතා රේඛාවෙන් පහළ මට්ටමේ සිටින බව මුදල් රාජ්‍ය අමාත්‍ය රංජිත් සියඹලාපිටිය මහතා පැවැසීය.	දරිද්‍රතා	0.16	දුප්පත්	දුප්පත්	දුප්පත්	දුප්පත්	දුප්පත්	දිළිඳු	දිළිඳු	දිළිඳු	දුගී	දුගී
si_6	sinhala	අම්මා කෙනෙකුගෙන් තොරවූ ජන සමාජයක් කිසි දිනෙක මිහිපිට පහළ වූයේ නැත, ඒ නිසාම අතීත යුගයේ සිට අම්මා කෙනෙකු බවට පත්වූ වනිතාව මුළු මහත් ප‍්‍රජාවගේම බුහුමනට පාත‍්‍ර වූවාය.	වනිතාව	0.12	කාන්තාව	කාන්තාව	කාන්තාව	කාන්තාව	ගැහැණිය	ගැහැණිය	ගැහැණිය	කත	කත	කත
si_7	sinhala	උදෑසන ආහාර සොයා ගිය සියොතුන් නැවත තම කැදැලි කරා පියඹා එන්නට පටන් ගෙන.	සියොතුන්	0.06	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	කුරුල්ලෝ	පක්ෂීන්	පක්ෂීන්	පක්ෂීන්	විහඟුන්
si_8	sinhala	සමාරම්භයත් සමඟම, මාතර හා තදාසන්න ප්‍රදේශවල සිය ගණන් මාපියෝ සිය පුත්‍රයන්ගේ ඉංග්‍රීසි අධ්‍යාපනය උදෙසා පරාක්‍රමබාහු පාඨශාලාව යනුවෙන් නම් කෙරුණු මේ පාසලට රැගෙන එන්නට වූහ.	පාඨශාලාව	0.05	පාසල	පාසල	පාසල	පාසල	විදුහල	විදුහල	විද්‍යාලය	විද්‍යාලය	ඉස්කෝලය	ඉස්කෝලය
si_9	sinhala	බලි තොවිල් වැනි ශාන්ති කර්මවලදී කේතුට හිමි වෘක්ෂය වන කෙසෙල් ගසේ පතුරු භාවිත කරන්නේ වාත, පිත, සෙම යන කොටස් තුන කෙසෙල් පතුරුවල අඩංගු නිසාය.	වෘක්ෂය	0.19	ගස	ගස	ගස	ගස	ගස	ගස	රුක	රුක	රුක	තුර
si_10	sinhala	වඩා ත් තීරණාත්මක ලෙස, ඇතැම් න්‍යායන්ට අනුව අපගේ ග්‍රහලෝකය තුළ ජීවය සම්භවය විය හැකි තත්ත්වයන් නිර්මාණය කිරීමට චන්ද්‍රයා උපකාර වන්නට, එසේම පෘථිවියේ ජීවය ප්‍රථමයෙන් ආරම්භ කිරීමට පවා උපකාර වන්නට ඇත.	චන්ද්‍රයා	0.09	සඳ	සඳ	සඳ	සඳ	සඳ	හඳ	හඳ	හඳ	හඳ	තරිඳු
